RandomWeird{value=2654939097715633158, times=4, duration='34298'}
RandomWeird{value=3791194062526923237, times=2, duration='3649'}
RandomWeird{value=1043216550805957129, times=6, duration='3649'}
RandomWeird{value=8292006908369622564, times=2, duration='1460'}
RandomWeird{value=7906790053751468814, times=7, duration='3649'}
RandomWeird{value=7201612860765524354, times=5, duration='2919'}
RandomWeird{value=3581072586589926985, times=3, duration='2189'}
RandomWeird{value=7558671401624601471, times=2, duration='1460'}
RandomWeird{value=8684330045322803686, times=5, duration='2919'}
RandomWeird{value=7785646765111216755, times=3, duration='2189'}
RandomWeird{value=3311820765859518949, times=3, duration='2190'}
RandomWeird{value=1989273468697112094, times=2, duration='1824'}
RandomWeird{value=1506578444459489672, times=3, duration='1825'}
RandomWeird{value=5364425487448396490, times=3, duration='2189'}
RandomWeird{value=6470146022881807569, times=2, duration='1459'}
RandomWeird{value=5475669412211971409, times=3, duration='1824'}
RandomWeird{value=4991262578948379686, times=2, duration='1825'}
RandomWeird{value=1231121301230172537, times=2, duration='1459'}
RandomWeird{value=7384196513978512221, times=3, duration='1824'}
RandomWeird{value=5846526647982501055, times=2, duration='1459'}
RandomWeird{value=6685450007629130807, times=3, duration='2189'}
RandomWeird{value=4433872008837699338, times=3, duration='2190'}
RandomWeird{value=7943676111820435410, times=3, duration='2189'}
RandomWeird{value=3631702558737689356, times=2, duration='1825'}
RandomWeird{value=2119711909346626146, times=3, duration='2190'}
RandomWeird{value=3881327275020565255, times=2, duration='1824'}
RandomWeird{value=3660809705421409991, times=2, duration='1459'}
RandomWeird{value=4279129616205307419, times=2, duration='1459'}
RandomWeird{value=4503721452697981766, times=6, duration='3648'}
RandomWeird{value=3887860633774935039, times=5, duration='2919'}
RandomWeird{value=6697966596425983881, times=2, duration='1460'}
RandomWeird{value=4865892832291141125, times=4, duration='2554'}
RandomWeird{value=5641593249772572259, times=2, duration='1824'}
RandomWeird{value=1370611317566193722, times=3, duration='2189'}
