RandomWeird{value=5066177246380389534, times=3, duration='0'}
RandomWeird{value=8635239730978767413, times=4, duration='0'}
RandomWeird{value=6866134636435698763, times=3, duration='0'}
RandomWeird{value=3402082799608755005, times=4, duration='466'}
RandomWeird{value=1877264063874148064, times=8, duration='933'}
RandomWeird{value=9073071390713387899, times=10, duration='933'}
RandomWeird{value=5154289258525783643, times=5, duration='467'}
RandomWeird{value=8061755902093757110, times=2, duration='0'}
RandomWeird{value=8204922100872302838, times=2, duration='0'}
RandomWeird{value=6947169434270228233, times=4, duration='466'}
RandomWeird{value=1434025936455012412, times=5, duration='467'}
RandomWeird{value=7942130872272779289, times=2, duration='467'}
RandomWeird{value=2708456955029126340, times=4, duration='466'}
RandomWeird{value=1464595388019741631, times=2, duration='0'}
RandomWeird{value=1527330573478148220, times=4, duration='466'}
RandomWeird{value=6573577046058760018, times=3, duration='0'}
RandomWeird{value=8928138326437004349, times=6, duration='466'}
RandomWeird{value=5984990259017789159, times=9, duration='933'}
RandomWeird{value=1193089732678196010, times=4, duration='467'}
RandomWeird{value=5658569092243458185, times=2, duration='0'}
RandomWeird{value=5519383251162586425, times=5, duration='466'}
RandomWeird{value=5971420684794884210, times=2, duration='0'}
RandomWeird{value=3526927335302409517, times=2, duration='0'}
RandomWeird{value=2036824603534805408, times=3, duration='466'}
RandomWeird{value=4990485738274247260, times=3, duration='466'}
RandomWeird{value=8220671441023645704, times=4, duration='466'}
RandomWeird{value=2832232798688883816, times=3, duration='0'}
RandomWeird{value=5840962804784646289, times=3, duration='0'}
RandomWeird{value=3324180828929326877, times=11, duration='933'}
RandomWeird{value=3943063161333617700, times=2, duration='466'}
RandomWeird{value=1579774609626452214, times=3, duration='466'}
RandomWeird{value=6747891213665566481, times=2, duration='466'}
RandomWeird{value=3774490287614308863, times=3, duration='467'}
RandomWeird{value=7649352082515811593, times=2, duration='0'}
RandomWeird{value=1817942510036907402, times=2, duration='0'}
RandomWeird{value=2391809041387512376, times=2, duration='0'}
RandomWeird{value=6886870508593369457, times=3, duration='467'}
RandomWeird{value=2031636178023717003, times=2, duration='0'}
RandomWeird{value=4243538779613593522, times=2, duration='466'}
RandomWeird{value=3296039598643750552, times=2, duration='466'}
RandomWeird{value=2531950641894023787, times=2, duration='0'}
RandomWeird{value=1439925341318339711, times=5, duration='467'}
RandomWeird{value=4069347612075326166, times=5, duration='466'}
RandomWeird{value=1671472034440847238, times=3, duration='0'}
RandomWeird{value=4744697041893547298, times=2, duration='0'}
RandomWeird{value=4628884364577340946, times=3, duration='0'}
RandomWeird{value=5303129665736920135, times=2, duration='467'}
RandomWeird{value=4470702079837946683, times=2, duration='466'}
RandomWeird{value=1548457124963538029, times=2, duration='467'}
RandomWeird{value=2266274288545817031, times=3, duration='466'}
RandomWeird{value=9172635807675226777, times=2, duration='467'}
RandomWeird{value=1651687560416559085, times=4, duration='467'}
RandomWeird{value=9093587156213861747, times=2, duration='467'}
RandomWeird{value=2677884372854611273, times=5, duration='466'}
